"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch1.4","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","data_row_count","age (years):ch1","mouse id:ch1","mouse strain:ch1","Sex:ch1","tissue:ch1"
"GSM7020547","genomic DNA from Liver from YoungHet1","GSM7020547","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Liver from YoungHet1","Mus musculus","age (years): 0.5","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHet1","tissue: Liver","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic parabiosis","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020547/suppl/GSM7020547_204854860047_R03C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020547/suppl/GSM7020547_204854860047_R03C01_Red.idat.gz","37554","0.5","YoungHet1","C57BL/6 WT","Female","Liver"
"GSM7020548","genomic DNA from Fat from YoungHet1","GSM7020548","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Fat from YoungHet1","Mus musculus","age (years): 0.5","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHet1","tissue: Fat","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic parabiosis","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020548/suppl/GSM7020548_206787360001_R04C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020548/suppl/GSM7020548_206787360001_R04C01_Red.idat.gz","37554","0.5","YoungHet1","C57BL/6 WT","Female","Fat"
"GSM7020549","genomic DNA from Kidney from YoungHet1","GSM7020549","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Kidney from YoungHet1","Mus musculus","age (years): 0.5","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHet1","tissue: Kidney","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic parabiosis","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020549/suppl/GSM7020549_206787360001_R05C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020549/suppl/GSM7020549_206787360001_R05C01_Red.idat.gz","37554","0.5","YoungHet1","C57BL/6 WT","Female","Kidney"
"GSM7020550","genomic DNA from Brain from YoungHet1","GSM7020550","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Brain from YoungHet1","Mus musculus","age (years): 0.5","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHet1","tissue: Brain","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic parabiosis","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020550/suppl/GSM7020550_206787360001_R03C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020550/suppl/GSM7020550_206787360001_R03C02_Red.idat.gz","37554","0.5","YoungHet1","C57BL/6 WT","Female","Brain"
"GSM7020551","genomic DNA from Heart from YoungHet1","GSM7020551","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Heart from YoungHet1","Mus musculus","age (years): 0.5","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHet1","tissue: Heart","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic parabiosis","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020551/suppl/GSM7020551_206787360001_R05C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020551/suppl/GSM7020551_206787360001_R05C02_Red.idat.gz","37554","0.5","YoungHet1","C57BL/6 WT","Female","Heart"
"GSM7020552","genomic DNA from Liver from YoungHet2","GSM7020552","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Liver from YoungHet2","Mus musculus","age (years): 0.5","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHet2","tissue: Liver","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic parabiosis","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020552/suppl/GSM7020552_204854860047_R04C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020552/suppl/GSM7020552_204854860047_R04C01_Red.idat.gz","37554","0.5","YoungHet2","C57BL/6 WT","Female","Liver"
"GSM7020553","genomic DNA from Brain from YoungHet2","GSM7020553","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Brain from YoungHet2","Mus musculus","age (years): 0.5","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHet2","tissue: Brain","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic parabiosis","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020553/suppl/GSM7020553_206787360002_R04C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020553/suppl/GSM7020553_206787360002_R04C01_Red.idat.gz","37554","0.5","YoungHet2","C57BL/6 WT","Female","Brain"
"GSM7020554","genomic DNA from Kidney from YoungHet2","GSM7020554","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Kidney from YoungHet2","Mus musculus","age (years): 0.5","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHet2","tissue: Kidney","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic parabiosis","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020554/suppl/GSM7020554_206787360002_R04C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020554/suppl/GSM7020554_206787360002_R04C02_Red.idat.gz","37554","0.5","YoungHet2","C57BL/6 WT","Female","Kidney"
"GSM7020555","genomic DNA from Heart from YoungHet2","GSM7020555","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Heart from YoungHet2","Mus musculus","age (years): 0.5","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHet2","tissue: Heart","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic parabiosis","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020555/suppl/GSM7020555_206787360002_R05C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020555/suppl/GSM7020555_206787360002_R05C02_Red.idat.gz","37554","0.5","YoungHet2","C57BL/6 WT","Female","Heart"
"GSM7020556","genomic DNA from Liver from YoungHet3","GSM7020556","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Liver from YoungHet3","Mus musculus","age (years): 0.5","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHet3","tissue: Liver","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic parabiosis","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020556/suppl/GSM7020556_204854860047_R05C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020556/suppl/GSM7020556_204854860047_R05C01_Red.idat.gz","37554","0.5","YoungHet3","C57BL/6 WT","Female","Liver"
